Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ba 233.527 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Cr 205.560 nm ppm,Cr 267.716 nm ppm,Cu 324.754 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,Ni 216.555 nm ppm,Ni 221.648 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Sr 421.552 nm ppm,Sr 460.733 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,V 326.769 nm ppm,Zn 202.548 nm ppm,Zn 213.857 nm ppm
02:58,MCS 1337,22-01-2025 19:01,54934.47,55353.76,1065.23,2491.02,2825.65,42.91,42,19.08,1650.81,1608.22,56018.45,61262.07,1256.57,1240.06,127.09,125.4,5471.63,5570.79,20.33,18.99,209.55,238.87,161.08,171.99,1201.88,1192.92,5945.39,62.17,65.1
02:59,MCS 1338,22-01-2025 19:03,78311.7,78578.63,871.15,1596.08,1778.47,48.22,48.14,47.56,2695.58,2617.11,50782.85,53928.48,3475.58,3458.91,522.64,518.55,5761.42,5786.84,31.28,28,272.45,307.67,129.25,132.6,2294.33,2278.34,9583.66,58.68,62.79
0.125,MCS 1339,22-01-2025 19:05,61440.93,61102.81,582.2,1995.07,2164.81,69.91,69.37,23.17,2287.73,2225.02,28839.54,30105.77,2433.07,2416.65,303.04,299.23,5026.21,5085,36.86,34.64,296.72,339.73,99.61,99.68,2754.78,2734.55,9737.96,127.97,134.1
03:01,MCS 1340,22-01-2025 19:07,60815.27,60221.06,888.61,2267.68,2436.16,59.3,59.51,32.71,2525.69,2453.48,30499.22,31352.1,3092.43,3075.19,286.5,284.91,3373.46,3431.63,34.49,29.58,438.12,470.28,125.1,123.52,3087.79,3065.39,12002.24,53.23,56.24
03:02,MCS 1341,22-01-2025 19:09,72122.47,71867.02,573.34,15139.55,16212.27,78.07,76.13,71.11,3960.32,3847.1,30194.3,31110.96,8399.65,8447.75,498.09,495.49,7936.16,8009.92,47,45.08,457.1,529.59,130.38,135.78,5461.21,5427.92,21397.82 o,68.25,74.6
03:03,MCS 1342,22-01-2025 19:11,73123.87,72859.05,506.68,1990.12,2175.25,77.03,75.58,49.11,3547.77,3449.24,31501.39,32787.58,4530.01,4501.16,562.05,557.34,3272.26,3308.2,47.73,44.5,358.37,408.03,75.39,74.89,3851.87,3866.03,14733.29,62.73,67.58
01:15,QC_MES_5 ppm,22-01-2025 19:13,5.21,5.12,0,5.1,5.42,0.00 u,0,0,0.51 Q,0.50 Q,5.44,5.56,4.6,4.83,5.05,5.1,5.16,5.34,0,0.00 u,5.06,4.98,0,0.00 u,5.07,5.04,0.3,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 19:15,2.59,2.6,2.46,-0.02 u,-0.01 u,2.48,2.43,2.48,0,0,24.7,27.2,0,0,2.47,2.47,-0.01 u,0.08,2.51,2.45,0.01,0.03,2.47,2.73,0,0.00 u,2.5,2.4,2.49
01:17,SJS_STD,22-01-2025 19:17,78576.82,75393.31,1017.53,19697.55,20133.15,108.78,109.32,50.08,3560.27,3455.85,20435.66,20057.51,14684.01,14577.31,572.43,567.52,11828.86,11727.81,91.27,76.21,619.53,635.7,259.14,244.5,3441.64,3415.32,17814.47,105.25,109.04
03:04,MCS 1343,22-01-2025 19:19,69774.3,69492.67,457.75,2464.12,2649.23,82.7,82,52.09,3569.71,3470.45,27848.14,28545.59,4698,4668.68,544.59,541.25,2777.5,2784.59,49.89,47.46,341.35,411.46,70.39,68.56,3683.47,3656.91,14715.9,64.64,70.17
03:05,MCS 1344,22-01-2025 19:21,65649.6,64641.18,312,5635.97,5987.06,59.79,59.48,46.23,3277.56,3215.13,24058.47,24310.8,5019.77,5014.19,490.37,485.11,5223.13,5226.66,39.94,39.6,642.42,687.61,68.02,65.91,4041.79,4013.56,15463.4,59.22,63.81
03:06,MCS 1345,22-01-2025 19:23,94140.35,94040.02,414.88,729.87,814.05,97.05,94.55,46.18,4570.4,4449.09,31352.23,32237.05,6223.51,6205.22,1004.42,996.15,5318.13,5399.6,71.09,67.78,146.88,176.1,53.86,53.35,4879.48,4866.19,19989.93,73.44,80.67
03:07,MCS 1346,22-01-2025 19:25,76663.65,76210.35,428.39,1766.66,1924.6,81.9,81.19,38.7,3482.67,3387.85,30056.42,30867.05,3898.21,3884.56,669.5,662.19,8177.03,8259.42,51.52,50.92,476.02,544.26,66.76,65.17,4177.86,4149.72,16619.07,169.2,176.91
03:08,MCS 1347,22-01-2025 19:27,79494.78,78900.45,385.27,1826.41,1987.76,120.69,118.93,40.75,3497.18,3400.37,29547.3,30286.16,4185.09,4169.6,556.18,550.49,8445.11,8503.19,67.86,65.74,552.69,586.57,67.26,65.69,4495.67,4456.61,16616.05,53.47,57.64
03:09,MCS 1348,22-01-2025 19:29,73645.05,73325.3,397.77,2209.19,2393.5,59.83,58.14,34.16,2596.49,2531.21,32810.41,33850.48,3335.64,3312.78,512.41,509.42,7823.01,7850.53,39.78,36.62,457.65,521.96,60.88,59.64,3639.57,3613.21,13088.24,45.05,48.54
03:10,MCS 1349,22-01-2025 19:31,67541.34,67418.23,337.98,9130.37,9907.59,68.81,67.76,48.81,2936.43,2859.57,32280.26,33769.44,4808.58,4790.42,322,319.23,5857.19,5891.66,38.17,36.09,323.76,381.56,83.38,84.88,3851.5,3860.13,15525.22,44.33,48.54
03:11,MCS 1350,22-01-2025 19:33,81348.15,81206.18,429.94,2441.1,2676.71,95.26,94.14,53.58,6569.71,6386.76,32760.73,33829.84,3655.38,3641.16,702.28,697.21,11510.17,11711.5,59.3,52.94,806.04,898.9,73.35,73.37,4951.74,4952.9,30506.78 o,73.22,80.1
03:12,MCS 1351,22-01-2025 19:35,88005.47,88024.11,396.67,3201.87,3483.47,106.07,104.29,51.9,5051.19,4916.92,26374.83,27144.41,5649.42,5647.73,811.6,803.47,2917.9,2953.83,72.1,66.61,328.29,380.41,55.96,55.54,5837.86,5797.62,24051.48 o,76.27,82.38
03:13,MCS 1352,22-01-2025 19:37,48365.24,47799.95,329.48,2210.37,2397.81,78.38,77.67,18.45,1358.29,1325.31,35870.97,37491.51,1548.55,1529,122.03,121.49,4580.03,4589.54,34.1,34.58,197.72,240.82,52.83,50.97,2187.68,2172.79,7361.46,150.31,157.06
01:15,QC_MES_5 ppm,22-01-2025 19:39,5.24,5.16,0,5.13,5.47,0.00 u,0,0,0.51 Q,0.50 Q,5.49,5.61,4.61,4.84,5.07,5.13,5.19,5.37,0,0.00 u,5.08,4.97,0,0.00 u,5.12,5.09,0.25,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 19:41,2.59,2.6,2.45,-0.02 u,-0.01 u,2.47,2.43,2.5,0,0,24.66,27.18,0,0,2.47,2.47,-0.01 u,0.08,2.5,2.44,0.01,0.03,2.49,2.72,0,0.00 u,2.58,2.39,2.49
01:17,SJS_STD,22-01-2025 19:43,78331.86,75312.61,1019.62,19687.43,20159.06,103.62,104.3,50.71,3561.3,3468.21,20441.75,20131.65,14629.8,14542.65,570.57,567.74,11838.93,11724.26,82.82,79.49,614.84,766.44,259.53,237.42,3441.9,3413.76,18047.87,105.41,108.51
03:14,MCS 1353,22-01-2025 19:45,71209.58,70898.58,391.25,1073.24,1181.07,77.91,76.69,33.47,2855.75,2779.49,34795.74,36415.55,2429.15,2411.07,447.5,442.13,2986.83,3005.58,46.06,46.05,427.84,445.31,49.49,48.39,3492.1,3468.87,13367.16,143.42,150.22
03:15,MCS 1354,22-01-2025 19:47,59304.47,58820.95,383.82,1145.38,1249.4,70.33,71.05,29.24,2514.53,2441.74,35814.37,37833.93,1868.2,1857.59,223.68,219.94,2962.69,2998.11,36.91,33.56,592.86,634.27,51.36,50.71,2740.16,2719.64,11122.95,141.23,148.01
03:16,MCS 1355,22-01-2025 19:49,68467.74,68040.38,318.56,9218.75,9848.64,100.68,99.88,58.29,4475.97,4367.96,17638.97,17911.94,7222.69,7260.23,911.34,903.57,4411.53,4420.89,67.97,62.76,574.45,641.2,68.53,68.85,6040.99,6006.83,24008.12 o,156.98,167.49
03:17,MCS 1356,22-01-2025 19:51,52162.28,51073.19,369.57,3531.83,3754.62,54.41,53.28,23.24,1356.63,1321.37,38133.81,38731,1778.23,1741.76,151.16,148.25,4766.97,4739.72,19.45,22.32,236.41,296.39,61.5,58.1,3370.23,3339.3,7606.92,210.11,218.15
03:18,MCS 1357,22-01-2025 19:53,66964.25,66547.87,308.68,5868.38,6301.27,103.78,102.79,56.11,5826.39,5680.3,16710.39,16938.24,6062.03,6066.37,828.29,821.98,3499.41,3494.63,67.52,61.94,418.79,475.49,58.29,57.14,5784.81,5775.72,26884.15 o,157.32,168.78
03:19,MCS 1358,22-01-2025 19:55,39929.42,39871.55,562.6,2261.04,2472.11,55.36,54.59,27.5,2083.68,2031.34,21098.25,22097.11,2182.39,2167.17,200.78,199.5,2642.31,2683.18,25.79,22.78,303.95,340.69,84.11,85.75,2068.49,2054.33,9766.93,44.04,47.02
03:20,MCS 1359,22-01-2025 19:57,54077.82,53531.95,697.4,4417.19,4731.93,55.58,54.75,32.31,2416.83,2344.94,24541.7,25177.3,3521.16,3514.92,289.14,286.45,3889.87,3934.64,33.37,31.27,414.61,464.64,109.83,107.69,3029.11,3009.08,11529.06,69.28,73.94
03:21,MCS 1360,22-01-2025 19:59,87116.26,87040.84,318.28,994.58,1081.21,200.78,196.69,78.7,7835.15,7647.57,14923.03,15087.72,4350.55,4323.98,1109.24,1101.57,1862.99,1856.07,94.2,85.43,677.07,765.55,39.45,38.53,8810.38,8758.83,41690.44 o,107.14,117.48
03:22,MCS 1362,22-01-2025 20:02,105780.93,105598.84,246.57,1151.93,1258.62,519.67,512.47,132.64,22728.95 o,22556.34 o,10534.09,10552.92,3470.98,3451.82,1592.45,1584.29,1073.28,1073.05,148.14,125.07,1619.73,1765.54,30.07,29.85,10791.39,10737.82,112838.71 o,115.5,136.18
03:23,MCS 1367,22-01-2025 20:04,111752.21,112149.59,361.29,2650.47,2870.06,293.34,287.68,116.93,11650.24,11382.85,14402.65,14557.78,5177.13,5161,2013.35,1990.79,1996.38,1994.3,132.93,122.83,1204.1,1307.54,42.06,41,9955.85,9908,63233.89 o,136.03,150.32
03:24,MCS 1369,22-01-2025 20:06,102263.19,102440.68,270.27,5291.83,5691.44,356.93,350.8,108.48,14926.95,14706.59,12833.95,12921.25,4946.09,4926.27,1473.4,1465.28,1629.76,1619.28,133.49,118.19,1072.61,1176.34,38.05,36.96,8974.99,8930.88,79017.17 o,288.31,311.91
01:15,QC_MES_5 ppm,22-01-2025 20:08,5.22,5.14,0,5.13,5.49,0.00 u,0,0,0.51 Q,0.50 Q,5.46,5.58,4.61,4.83,5.07,5.12,5.2,5.37,0,0.00 u,5.07,4.96,0,0.00 u,5.11,5.08,0.22,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 20:10,2.6,2.61,2.46,-0.02 u,-0.01 u,2.48,2.43,2.5,0,0,24.79,27.37,0,0,2.48,2.47,-0.01 u,0.08,2.51,2.45,0.01,0.03,2.51,2.73,0,0.00 u,2.51,2.4,2.49
01:17,SJS_STD,22-01-2025 20:12,78360.88,75529.41,1011.97,19679.32,20167.3,107.67,108.04,50.21,3573.87,3474.98,20498.36,20098.63,14677.76,14565.47,569.25,566.76,11856.83,11750.3,87.2,80.33,616.15,789.5,259.48,238.68,3440.69,3412.64,16748.2,103.16,106.73
